Publication Name,Parent Company,City,State,Type,Audit Source,Report Date,Sun/Sat,Wkdy
CHICAGO SUN-TIMES.COM-The Doings Lagrange,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"4,712"
CHICAGO SUN-TIMES.COM-The Doings Oak Brook,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,886
CHICAGO SUN-TIMES.COM-The Doings Weekly,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"1,286"
CHICAGO SUN-TIMES.COM-The Doings Western Springs,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"1,966"
CHICAGO SUN-TIMES.COM-The Herald-News,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,"30,444","27,035"
CHICAGO SUN-TIMES.COM-Tinley Park Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"8,631"
CHICAGO SUN-TIMES.COM-Vernon Hills Review,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"1,501"
CHICAGO SUN-TIMES.COM-Wilmette Life,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"3,362"
CHICAGO SUN-TIMES.COM-Winnetka Talk,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"2,746"
CHICAGO SUN-TIMES.COM-Yorkville Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"2,815"
Chicago Tribune,Tribune Publishing Company,Chicago,IL,DLY,AAM,03/2013-AR,"774,081","413,475"
Chillicothe Gazette,Gannett Company Inc.,Chillicothe,OH,CND,AAM,03/2013-AR,"10,700","8,232"
Chilliwack Progress,"Black Press Group, Ltd.",Chilliwack,BC,WKL,AAM,12/2013-AR,,"29,734"
CHILLIWACK TIMES,"Black Press Group, Ltd.",Chilliwack,BC,WKL,AAM,03/2014-AR,,"27,524"
Chippewa Herald,"Lee Enterprises, Incorporated",Chippewa Falls,WI,CND,AAM,03/2014-AR,"4,736","4,845"
Chowchilla News,McClatchy Company,Chowchilla,CA,CNW,AAM,09/2013-AR,,"1,345"
Chronicle Journal,Continental Newspapers (Canada) Ltd.,Thunder Bay,ON,CND,AAM,06/2012-AR,"24,421","24,567"
Chronicle-Herald,The Halifax Herald Limited,Halifax,NS,DLY,AAM,09/2012-AR,"109,512","106,020"
Chronicle-Telegram,Lorain County Printing & Publishing Company,Elyria,OH,CND,AAM,03/2013-AR,"23,910","24,811"
CHRONICLE-TRIBUNE,Paxton Media Group Inc.,Marion,IN,CND,AAM,09/2012-AR,"14,406","12,334"
Cincinnati Enquirer,Gannett Company Inc.,Cincinnati,OH,DLY,AAM,03/2013-AR,"258,691","130,968"
Cincinnati Enquirer-Yes! Your Essential Shopper,Gannett Company Inc.,Cincinnati,OH,BE,AAM,03/2013-AR,"26,106",
CIPS-California Weekend Direct Product,CIPS Marketing Group,Los Angeles,CA,WKL,CAC,12/2013-AR,"1,245,267",
Citizen,"Lee Enterprises, Incorporated",Auburn,NY,CND,AAM,06/2012-AR,"10,345","8,636"
The Citizen Cowata Edition,"Fayette Publishing, Inc.",Fayetteville,GA,WKL,CAC,09/2012-AR,,"7,953"
Citizen Tribune,"Lakeway Publishers, Inc.",Morristown,TN,CND,AAM,06/2013-AR,"24,575","18,739"
Citrus County Chronicle,Citrus Publishing Inc.,Crystal River,FL,DLY,AAM,12/2013-AR,"26,881","21,019"
City Life,Stephens Media Group,Las Vegas,NV,WKL,CAC,09/2013-AR,,"39,703"
Clarion-Ledger,Gannett Company Inc.,Jackson,MS,DLY,AAM,09/2013-AR,"62,448","53,245"
Clayton News Star,A Div. of the News and Observer Pub. Co.,Raleigh,NC,WKL,CAC,See Reports,,
Cleveland Daily Banner,"Cleveland Newspapers, Inc.",Cleveland,TN,CND,AAM,12/2013-AR,"13,148","11,208"
Cliffside Park Citizen,North Jersey Media Group,Hackensack,NJ,WKL,AAM,12/2013-AR,,"9,522"
Clinton Herald,"Community Newspaper Holdings, Inc. (CNHI)",Clinton,IA,CND,AAM,09/2013-AR,,"8,752"
Cohasset Mariner,GateHouse Media,Cohasset,MA,WKL,AAM,03/2013-AR,,"1,725"
Columbia Daily Tribune,Tribune Publishing Company,Columbia,MO,CND,AAM,12/2013-AR,"23,493","20,620"
Columbia Flier,Patuxent Publishing Company,Baltimore,MD,WKL,CAC,09/2013-AR,,"37,973"
Columbia Hgts/Fridley,ECM-Sun Group LLC,Eden Prairie,MN,WKL,CAC,09/2012-AR,,"15,442"
Columbian,Columbian Publishing Co.,Vancouver,WA,DLY,AAM,03/2014-AR,"34,563","30,516"
Columbian-North County News,Columbian Publishing Co.,Vancouver,WA,BE,AAM,03/2014-AR,,"20,103"
Columbian-Sunday Select,Columbian Publishing Co.,Vancouver,WA,BE,AAM,03/2014-AR,"15,276",
Columbian-Your Week,Columbian Publishing Co.,Vancouver,WA,BE,AAM,03/2014-AR,,"61,238"
Columbus Dispatch,Dispatch Printing Company,Columbus,OH,DLY,AAM,03/2013-AR,"254,836","133,501"
Columbus Monthly Magazine,Dispatch Printing Company,Columbus,OH,WKL,CAC,06/2013-AR,,"20,139"
