Publication Name,Parent Company,City,State,Type,Audit Source,Report Date,Sun/Sat,Wkdy
Star Tribune-Stribexpress,Star Tribune Media Intermediate Holdings Co. II,Minneapolis-St. Paul,MN,BE,AAM,03/2013-AR,"62,399",
Star-Beacon,"Community Newspaper Holdings, Inc. (CNHI)",Ashtabula,OH,CND,AAM,12/2013-AR,"14,071","12,356"
Star-Herald,"Midlands Newspapers, Inc.",Scottsbluff,NE,DLY,CAC,12/2012-AR,"12,814","12,119"
StarNews Media,Halifax Media Holdings LLC,Wilmington,NC,DLY,AAM,06/2013-AR,"42,666","36,793"
Starphoenix,Postmedia Network Inc.,Saskatoon,SK,DLY,AAM,03/2013-AR,"48,441","47,877"
State,McClatchy Company,Columbia,SC,DLY,AAM,12/2013-AR,"78,589","56,724"
State Journal-Register,GateHouse Media,Springfield,IL,DLY,AAM,09/2012-AR,"49,046","43,634"
State Journal-Register-The Courier,GateHouse Media,Springfield,IL,BE,AAM,09/2012-AR,"2,699","2,619"
State Journal-Register-À La Carte,GateHouse Media,Springfield,IL,BE,AAM,Click Qtrly,,
State-Journal,Dix Publishing,Frankfort,KY,DLY,CAC,09/2012-AR,"9,948","8,809"
State-Yes! Your Essential Shopper,McClatchy Company,Columbia,SC,BE,AAM,12/2013-AR,"43,103",824
Staten Island Advance,Staten Island Advance,Staten Island,NY,DLY,AAM,09/2013-AR,"39,572","31,082"
Statesman Journal,Gannett Company Inc.,Salem,OR,DLY,AAM,03/2013-AR,"43,926","36,335"
Statesman Journal-The Silverton Appeal,Gannett Company Inc.,Salem,OR,BE,AAM,03/2013-AR,,"1,847"
Statesman Journal-The Stayton Mail,Gannett Company Inc.,Salem,OR,BE,AAM,03/2013-AR,,"1,354"
Statesville Record & Landmark,World Media Enterprise,Statesville,NC,DLY,CAC,12/2012-AR,"17,900","15,334"
Stephens Media Group,Stephens Media Group,Las Vegas,NV,WKL,CAC,See Reports,,
Sterling Heights Sentry,C&G Publishing,Warren,MI,WKL,CAC,03/2013-AR,,"48,164"
Sterling Heights Source,21st Century Media,Shelby,MI,WKL,CAC,09/2012-AR,"34,087",
Stevens Point Journal,Gannett Company Inc.,Stevens Point,WI,CND,AAM,06/2012-AR,,"8,058"
Stillwater Gazette,ECM Sun Group LLC,Stillwater,MN,WKL,CAC,09/2012-AR,,"1,617"
Stow Sentry,Dix Communications,Ravenna,OH,WKL,CAC,03/2012-AR,,"14,611"
Straus Newspapers,Straus Newspapers,Chester,NY,WKL,CAC,06/2013-AR,,"83,452"
Streetsboro Gateway-News,Dix Communications,Ravenna,OH,WKL,CAC,03/2012-AR,,"6,134"
Suburban,Greater Media Newspapers,Manalapan,NJ,WKL,CAC,09/2013-AR,,"30,140"
Suburban Life (Burr Ridge/Oak Brook/Will,Shaw Media,Burr Ridge,IL,WKL,CAC,03/2013-AR,,"3,546"
Suburban Life Media,Shaw Media,Burr Ridge,IL,WKL,CAC,03/2013-AR,,"92,326"
"Suburban Life-Brookfield, Lyons, McCook,",Shaw Media,Burr Ridge,IL,WKL,CAC,03/2013-AR,,"5,601"
"Suburban Life-Countryside, La Grange, W.",Shaw Media,Burr Ridge,IL,WKL,CAC,03/2013-AR,,"8,360"
Sun,"Sun Coast Media Group, Inc.",Charlotte Harbor P.O,FL,DLY,AAM,03/2014-AR,"46,404","45,203"
Sun,Tribune Publishing Company,Baltimore,MD,DLY,AAM,09/2012-AR,"310,828","166,041"
Sun Chronicle,Sun Chronicle,Attleboro-North Attleboro (Bristol County),MA,CND,AAM,06/2012-AR,"15,441","14,358"
Sun City Independent,Independent Newsmedia Inc USA,Sun City,AZ,WKL,CAC,12/2012-AR,,"20,736"
Sun City West Independent,Independent Newsmedia Inc USA,Sun City,AZ,WKL,CAC,12/2012-AR,,"14,017"
Sun Coast Media Group,Heartland Newspapers,Bartow,FL,WKL,CAC,06/2012-AR,,"8,260"
Sun Gazette,HPR-Hemlock LLC d/b/a Northern Virginia Media Ser,McLean,VA,WKL,CAC,06/2013-AR,,"38,927"
Sun Herald,McClatchy Company,Biloxi-Gulfport,MS,DLY,AAM,12/2012-AR,"38,964","33,002"
Sun Herald-Yes,McClatchy Company,Biloxi-Gulfport,MS,BE,AAM,Click Qtrly,,
Sun Journal,Sun Journal,Lewiston,ME,DLY,CAC,09/2012-AR,"35,469","33,824"
Sun Messenger,"Advance Publications, Inc.",Cleveland,OH,WKL,AAM,09/2013-AR,,"10,194"
Sun News,McClatchy Company,Myrtle Beach,SC,DLY,AAM,09/2012-AR,"50,161","35,524"
Sun Newspaper Group Ohio,"Advance Publications, Inc.",Cleveland,OH,WKL,AAM,09/2013-AR,,
Sun Post,"Advance Publications, Inc.",Cleveland,OH,WKL,AAM,09/2013-AR,,"17,827"
Sun Post Herald,"Advance Publications, Inc.",Cleveland,OH,WKL,AAM,09/2013-AR,,"21,829"
Sun Press,"Advance Publications, Inc.",Cleveland,OH,WKL,AAM,09/2013-AR,,"15,587"
Sun Sentinel,"Advance Publications, Inc.",Cleveland,OH,WKL,AAM,09/2013-AR,,"9,616"
Sun Star Courier,"Advance Publications, Inc.",Cleveland,OH,WKL,AAM,09/2013-AR,,"16,341"
Sun This Week - Apple Valley/Rosemount,ECM-Sun Group LLC,Eden Prairie,MN,WKL,CAC,09/2012-AR,,"27,279"
Sun This Week - Burnsville/Eagan,ECM-Sun Group LLC,Eden Prairie,MN,WKL,CAC,09/2012-AR,,"27,451"
Sun This Week - Lakeville/Farmington,ECM-Sun Group LLC,Eden Prairie,MN,WKL,CAC,09/2012-AR,,"23,879"
"Sun, Sunday Sun","MediaNews Group, Inc.",Lowell,MA,DLY,AAM,06/2013-AR,"46,606","41,031"
"Sun, Sunday Sun-Chronicle","MediaNews Group, Inc.",Lowell,MA,BE,AAM,06/2013-AR,,"8,041"
"Sun, Sunday Sun-Groton Landmark","MediaNews Group, Inc.",Lowell,MA,BE,AAM,06/2013-AR,,430
"Sun, Sunday Sun-Harvard Hillside","MediaNews Group, Inc.",Lowell,MA,BE,AAM,06/2013-AR,,78
"Sun, Sunday Sun-Pepperell Free Press","MediaNews Group, Inc.",Lowell,MA,BE,AAM,06/2013-AR,,639
"Sun, Sunday Sun-Public Spirit","MediaNews Group, Inc.",Lowell,MA,BE,AAM,06/2013-AR,,413
"Sun, Sunday Sun-Shirley Oracle","MediaNews Group, Inc.",Lowell,MA,BE,AAM,06/2013-AR,,184
"Sun, Sunday Sun-Townsend Times","MediaNews Group, Inc.",Lowell,MA,BE,AAM,06/2013-AR,,409
Sun-Columbia Flier,Tribune Publishing Company,Baltimore,MD,BE,AAM,Click Qtrly,,
Sun-Gazette,"Ogden Newspapers, Inc.",Williamsport,PA,CND,AAM,12/2012-AR,"29,323","22,348"
Sun-Laurel Leader,Tribune Publishing Company,Baltimore,MD,BE,AAM,Click Qtrly,,
Sun-Towson Times,Tribune Publishing Company,Baltimore,MD,BE,AAM,Click Qtrly,,
Surprise Independent,Independent Newsmedia Inc USA,Sun City,AZ,WKL,CAC,12/2012-AR,,"21,811"
Sussex County Post,Independent Newsmedia Inc USA,Milford,DE,WKL,CAC,12/2012-AR,,"17,268"
Sussex Sun,Journal Community Publishing Group,Hartland,WI,WKL,AAM,03/2012-AR,,"1,742"
Swampscott Reporter,GateHouse Media,Swampscott,MA,WKL,AAM,03/2013-AR,,"1,732"
Tahoe Tribune,Swift Publications,South Lake Tahoe,CA,WKL,CAC,12/2013-AR,,"7,680"
Tallahassee Democrat,Gannett Company Inc.,Tallahassee,FL,DLY,AAM,09/2012-AR,"44,678","34,077"
Tallahassee Democrat-Yes! Your Essential Shopper,Gannett Company Inc.,Tallahassee,FL,BE,AAM,Click Qtrly,,
Tallmadge Express,Dix Communications,Ravenna,OH,WKL,CAC,03/2012-AR,,"7,700"
Tampa Bay Times (formerly St. Petersburg Times),Times Publishing Company,St. Petersburg,FL,DLY,AAM,12/2013-AR,"377,584","246,240"
Tampa Bay Times (formerly St. Petersburg Times)-Tbt*,Times Publishing Company,St. Petersburg,FL,BE,AAM,12/2013-AR,,"102,562"
Taunton Daily Gazette,GateHouse Media,Taunton,MA,CND,AAM,12/2013-AR,"6,576","6,039"
Teaneck Suburbanite,North Jersey Media Group,Creskill,NJ,WKL,AAM,12/2013-AR,,"10,037"
"Telegram & Gazette, Sunday Telegram",Boston Globe Media Partners LLC,Worcester,MA,DLY,AAM,12/2013-AR,"77,471","67,718"
"Telegram & Gazette, Sunday Telegram-Sunday Living Select",Boston Globe Media Partners LLC,Worcester,MA,BE,AAM,12/2013-AR,908,
"Telegram & Gazette, Sunday Telegram-Telegram Towns",Boston Globe Media Partners LLC,Worcester,MA,BE,AAM,12/2013-AR,,"17,000"
Telegraph,B. F. Shaw Printing Company,Dixon,IL,DLY,AAM,09/2013-AR,,"7,218"
Telegraph Forum,Gannett Company Inc.,Bucyrus,OH,CND,AAM,09/2013-AR,104,"3,701"
Telegraph Herald,"Woodward Communications, Inc.",Dubuque-East Dubuque,IA,DLY,AAM,06/2013-AR,"30,013","25,115"
Telegraph Sunday Telegraph,"Ogden Newspapers, Inc.",Nashua,NH,CND,AAM,06/2012-AR,"22,603","17,355"
Temple Daily Telegram,"Frank Mayborn Enterprise, Inc.",Temple,TX,CND,AAM,03/2012-AR,"19,950","16,995"
Tennessean,Gannett Company Inc.,Nashville,TN,DLY,AAM,09/2013-AR,"166,831","99,536"
Tennessean-Yes - Your Essential Shopper,Gannett Company Inc.,Nashville,TN,BE,AAM,09/2013-AR,"56,315",
Tewksbury Advocate,GateHouse Media,Tewksbury,MA,WKL,AAM,03/2013-AR,,655
Texarkana Gazette,"Texarkana Newspapers, Inc.",Texarkana,TX,DLY,AAM,12/2012-AR,"26,855","24,902"
Star (formerly Evening Star),KPC Media Group Inc.,Auburn,IN,DLY,AAM,12/2012-AR,"6,033","6,813"
Star (formerly Evening Star)-The Butler Bulletin,KPC Media Group Inc.,Auburn,IN,BE,AAM,12/2012-AR,,
Star (formerly Evening Star)-The Garrett Clipper,KPC Media Group Inc.,Auburn,IN,BE,AAM,12/2012-AR,,
Telegraph,McClatchy Company,Macon,GA,DLY,AAM,03/2013-AR,"59,072","39,246"
The Almanac,The Observer Publishing Company,McMurray,PA,WKL,CAC,03/2013-AR,,"48,326"
THE ANN ARBOR NEWS,"Advance Publications, Inc.",Ann Arbor,MI,WKL,AAM,12/2013-AR,"30,994","24,862"
The Atlanta Voice,The Atlanta Voice,Atlanta,GA,WKL,CAC,06/2013-AR,,"25,898"
The Bag,On Target Marketing/The Bag,Columbus,OH,WKL,CAC,03/2014-AR,"792,172",
THE BALTIMORE AFRO-AMERICAN,Afro-American Co. of Baltimore City,Baltimore,MD,CNW,AAM,09/2012-AR,"6,165",
The Bay City Tribune,"Southern Newspapers, Inc.",Bay City,TX,WKL,CAC,03/2013-AR,"3,051","3,339"
The Bayonne Community News,Hudson Reporter Associates,Hoboken,NJ,WKL,CAC,06/2012-AR,,"22,723"
The Baytown Sun,The Baytown Sun,Baytown,TX,DLY,CAC,03/2013-AR,"7,188","6,930"
The Brazosport Facts,"Southern Newspapers, Inc.",Clute,TX,DLY,CAC,03/2013-AR,"13,756","12,449"
The Bulletin,GateHouse Media,Norwich,CT,CND,AAM,06/2012-AR,"20,282","16,955"
The Chapel Hill News,A Div. of the News and Observer Pub. Co.,Chapel Hill,NC,WKL,CAC,03/2012-AR,"39,201","37,469"
The Charleston Gazette/Daily Mail,"Charleston Newspapers, Inc./ Daily Gazette Co.",Charleston,WV,DLY,AAM,09/2013-AR,"61,250","50,922"
The Chronicle,The Chronicle,Willimantic,CT,DLY,CAC,12/2012-AR,"6,818","6,061"
The Chronicle,Straus Newspapers,Goshen,NY,WKL,CAC,06/2013-AR,,"7,536"
The Citizen,"Fayette Publishing, Inc.",Fayetteville,GA,WKL,CAC,09/2012-AR,,"23,305"
The Citizens' Voice,Times-Shamrock Communications,Wilkes-Barre,PA,DLY,AAM,12/2012-AR,"43,906","43,491"
The Citizens' Voice-Standard-Speaker,Times-Shamrock Communications,Wilkes-Barre,PA,BE,AAM,12/2012-AR,"17,463",
"The Citizens' Voice-Yes, Your Essential Shopper",Times-Shamrock Communications,Wilkes-Barre,PA,BE,AAM,Click Qtrly,,
The Citizen - Peachtree/Tyrone,"Fayette Publishing, Inc.",Fayetteville,GA,WKL,CAC,09/2012-AR,,"12,910"
The Colonial,Journal Register Publishing Company,Ft. Washington,PA,WKL,CAC,06/2013-AR,,879
The Courier,"Lee Enterprises, Incorporated",Waterloo-Cedar Falls,IA,DLY,AAM,03/2014-AR,"42,813","31,331"
The Courier,Findlay Publishing Company,Findlay,OH,DLY,CAC,12/2013-AR,,"17,982"
The Courier-Insider,"Lee Enterprises, Incorporated",Waterloo-Cedar Falls,IA,BE,AAM,03/2014-AR,,"31,873"
The Courier-Tribune,"Stephens Media Group, LLC",Asheboro,NC,DLY,CAC,03/2012-AR,"13,406","11,468"
The Daily Astorian,East Oregonian Meia Group,Astoria,OR,DLY,CAC,06/2013-AR,,"6,749"
The Daily Herald,"Stephens Media, LLC",Columbia,TN,DLY,CAC,03/2012-AR,"11,929","10,301"
"The Daily Herald, The Sunday Herald",Sound Publishing,Everett,WA,DLY,AAM,03/2014-AR,"43,270","36,122"
The Daily Item,Hastings & Sons Publishing Co.,Lynn,MA,DLY,CAC,12/2012-AR,"10,751","10,581"
The Daily Jeffersonian,Dix Communications,Cambridge,OH,DLY,CAC,06/2013-AR,"11,146","10,298"
The Daily Journal,"Kankakee Daily Journal Co., LLC",Kankakee,IL,DLY,CAC,09/2012-AR,"27,215","22,855"
The Daily News,Halifax Media Group,Jacksonville,NC,DLY,CAC,12/2013-AR,"15,356","14,279"
The Daily Nonpareil,"Midlands Newspapers, Inc.",Council Bluffs,IA,DLY,CAC,12/2012-AR,"12,441","11,353"
The Daily Record,Record Publishing Company,Dunn,NC,DLY,CAC,12/2012-AR,,"9,243"
The Daily Review,Towanda Printing Company,Towanda,PA,DLY,CAC,03/2013-AR,"8,635","7,208"
The Daily Sentinel,"Southern Newspapers, Inc.",Nacogdoches,TX,DLY,CAC,03/2013-AR,"7,544","6,995"
The Daily Sentinel,"Southern Newspapers, Inc.",Scottsboro,AL,DLY,CAC,03/2013-AR,"3,536","3,103"
The Daily Times,Jones Media,Maryville,TN,DLY,CAC,03/2013-AR,"18,704","18,437"
The Daily Union,"Montgomery Communications, Inc.",Junction City,KS,DLY,CAC,03/2012-AR,"3,864","3,375"
The Dallas Weekly,The Dallas Weekly,Dallas,TX,WKL,CAC,06/2013-AR,,"5,355"
The Darien Times,Hersam Acorn Newspapers,Shelton,CT,WKL,CAC,03/2013-AR,,"6,172"
Dedham Transcript,GateHouse Media,Needham,MA,WKL,AAM,03/2012-AR,,"1,047"
The Detroit News,"Gannett Company Inc./MediaNews Group, Inc.",Detroit,MI,DLY,AAM,03/2013-AR,"104,055","118,525"
The Dispatch,Small Newspaper Group Inc.,Moline,IL,DLY,CAC,03/2013-AR,"28,418","25,822"
The Durham News,A Div. of the News and Observer Pub. Co.,Chapel Hill,NC,WKL,CAC,03/2012-AR,"70,603","66,513"
The Enterprise,Southern Maryland Newspapers,Lexington Park,MD,WKL,CAC,09/2013-AR,,"12,863"
The Fort Meade Leader,Heartland Newspapers,Bartow,FL,WKL,CAC,06/2012-AR,,789
The Fort Morgan Times,Prairie Mountain Publishing,Fort Morgan,CO,DLY,CAC,03/2012-AR,,"2,800"
The Frankfort Station,22nd Century Media,Orland Park,IL,WKL,CAC,06/2013-AR,,"9,604"
The Free Press,Halifax Media Group,Kinston,NC,DLY,CAC,12/2013-AR,"9,240","8,447"
The Frostproof News,Heartland Newspapers,Bartow,FL,WKL,CAC,06/2012-AR,,629
The Galveston County Daily News,"Galveston Newspapers, Inc.",Texas City,TX,DLY,CAC,03/2012-AR,"23,398","22,827"
The Gazette,North Jersey Media Group,Fairlawn,NJ,WKL,AAM,12/2013-AR,,"11,857"
The Glenview Lantern,22nd Century Media,Orland Park,IL,WKL,CAC,06/2013-AR,,"20,598"
The Globe,Journal Register Publishing Company,Ft. Washington,PA,WKL,CAC,06/2013-AR,,799
The Gold Miner,ECM-Sun Group LLC,Waconia,MN,WKL,CAC,09/2012-AR,"14,824",
The Greeley Tribune,Greeley Publishing Co.,Greeley,CO,DLY,CAC,12/2012-AR,"22,999","20,497"
The Herald,A Div. of the News and Observer Pub. Co.,Smithfield,NC,WKL,CAC,03/2012-AR,"39,072","36,227"
Herald-Republican,KPC Media Group Inc.,Angola,IN,DLY,AAM,12/2012-AR,"4,625","4,466"
The Hoboken Reporter,Hudson Reporter Associates,Hoboken,NJ,WKL,CAC,06/2012-AR,"14,358",
The Homer Horizon,22nd Century Media,Orland Park,IL,WKL,CAC,06/2013-AR,,"7,981"
The Hub,Greater Media Newspapers,Manalapan,NJ,WKL,CAC,09/2013-AR,,"17,710"
The Jersey City Reporter,Hudson Reporter Associates,Hoboken,NJ,WKL,CAC,06/2012-AR,"13,346",
The Journal,Independent Newsmedia Inc USA,Milford,DE,WKL,CAC,12/2012-AR,,"2,476"
The Journal Gazette,"Ogden Newspapers, Inc.",Ft Wayne,IN,DLY,AAM,12/2013-AR,"81,371","53,400"
The Lake Wales News,Heartland Newspapers,Bartow,FL,WKL,CAC,06/2012-AR,,"4,140"
The Laker,ECM-Sun Group LLC,Waconia,MN,WKL,CAC,09/2012-AR,,"7,086"
The Laker/The Pioneer,ECM-Sun Group LLC,Mound,MN,WKL,CAC,09/2012-AR,,"12,460"
The Lakeville Journal,"The Lakeville Journal Company, LLC",Lakeville,CT,WKL,CAC,09/2013-AR,,"3,444"
"The Lakeville Journal Company, LLC","The Lakeville Journal Company, LLC",Lakeville,CT,WKL,CAC,09/2013-AR,,"5,391"
The Leader,Southern Minnesota Media,Faribault,MN,WKL,CAC,12/2013-AR,"1,992",
The Lewisboro Ledger,Hersam Acorn Newspapers,Shelton,CT,WKL,CAC,03/2013-AR,,"1,593"
The Lockport Legend,22nd Century Media,Orland Park,IL,WKL,CAC,06/2013-AR,,"10,168"
The Lovely County Citizen,Rust Communications,Berryville,AR,WKL,CAC,09/2013-AR,,"6,199"
The Lufkin Daily News,"Southern Newspapers, Inc.",Lufkin,TX,DLY,CAC,03/2013-AR,"11,177","9,825"
The Manhattan Mercury,"Seaton Publishing Company, Inc.",Manhattan,KS,DLY,CAC,03/2012-AR,"9,556","7,919"
The Maple Ridge News,"Black Press Group, Ltd.",Maple Ridge,BC,WKL,AAM,12/2013-AR,,"30,514"
The McDowell News,BH Media Group,Marion,NC,DLY,CAC,12/2012-AR,"4,785","4,353"
The Miami Herald,McClatchy Company,Miami,FL,DLY,AAM,06/2013-AR,"189,371","139,835"
The Mokena Messenger,22nd Century Media,Orland Park,IL,WKL,CAC,06/2013-AR,,"7,320"
THE MONROE NEWS,Monroe Publishing Company,Monroe,MI,CND,AAM,12/2012-AR,"42,457","16,804"
THE MONROE NEWS-Cover Story,Monroe Publishing Company,Monroe,MI,BE,AAM,Click Qtrly,,
The New Caanan Advertiser,Hersam Acorn Newspapers,Shelton,CT,WKL,CAC,03/2013-AR,,"4,325"
The New Lenox Patriot,22nd Century Media,Orland Park,IL,WKL,CAC,06/2013-AR,,"10,594"
The Newport Daily News,The Newport Daily News,Newport,RI,DLY,CAC,06/2012-AR,,"10,060"
The News Herald,BH Media Group,Morganton,NC,DLY,CAC,12/2012-AR,"8,731","7,600"
The News Journal Media Group,Gannett Company Inc.,Wilmington,DE,DLY,AAM,12/2013-AR,"89,032","75,789"
The News Journal Media Group-Yes! Your Essential Shopper,Gannett Company Inc.,Wilmington,DE,BE,AAM,12/2013-AR,"17,996",
The News-Herald,Heritage Newspapers,Southgate,MI,WKL,CAC,03/2014-AR,,"42,556"
The News-Review,Swift Communications,Roseburg,OR,DLY,CAC,12/2011-AR,"18,968","18,253"
The North Bergen Reporter,Hudson Reporter Associates,Hoboken,NJ,WKL,CAC,06/2012-AR,"15,469",
The Northbrook Tower,22nd Century Media,Orland Park,IL,WKL,CAC,06/2013-AR,,"17,022"
The Orland Park Prairie,22nd Century Media,Orland Park,IL,WKL,CAC,06/2013-AR,,"22,031"
The Palm Beach Post,Cox Media Group,West Palm Beach,FL,DLY,AAM,06/2013-AR,"120,014","98,014"
The Palm Beach Post-Real Values Neighborhood Post,Cox Media Group,West Palm Beach,FL,BE,AAM,06/2013-AR,"22,911",
The Paris News,The Paris News,Paris,TX,DLY,CAC,03/2013-AR,"9,883","8,881"
The Parkersburg News And Sentinel,"Ogden Newspapers, Inc.",Parkersburg,WV,CND,AAM,12/2012-AR,"27,081","20,644"
The Philadelphia Tribune,Philadelphia Tribune Company,Philadelphia,PA,WKL,CAC,03/2013-AR,"63,078","15,884"
"The Philadelphia Tribune, Sunday Tribune","Philadelphia Tribune Company, Inc.",Philadelphia,PA,WKL,AAM,03/2013-AR,"10,453","15,878"
The Photo News,Straus Newspapers,Chester,NY,WKL,CAC,06/2013-AR,,"10,996"
The Pioneer,ECM-Sun Group LLC,Waconia,MN,WKL,CAC,09/2012-AR,,"5,374"
The Pocono Record,"Local Media Group, Inc.",Stroudsburg-East Stroudsburg,PA,DLY,AAM,12/2013-AR,"16,632","11,880"
The Progress,Progressive Publishing Co.,Clearfield,PA,DLY,CAC,03/2013-AR,,"9,595"
The Polk County Democrat,Heartland Newspapers,Bartow,FL,WKL,CAC,06/2012-AR,,"2,702"
The Press & Guide,Heritage Newspapers,Dearborn,MI,WKL,CAC,03/2014-AR,,"11,758"
"The Princeton Packet, Inc.","The Princeton Packet, Inc.",Princeton,NJ,WKL,CAC,06/2012-AR,,"64,066"
"The Pueblo Chieftain, The Sunday Cheiftain and Star Journal",Star-Journal Publishing Corporation,Pueblo,CO,DLY,AAM,09/2012-AR,"43,445","41,368"
The Record,North Jersey Media Group,Woodland Park,NJ,DLY,AAM,12/2012-AR,"171,630","149,240"
The Record-Herald News,North Jersey Media Group,Woodland Park,NJ,BE,AAM,12/2012-AR,"14,383","15,350"
The Record-Suburban Trends,North Jersey Media Group,Woodland Park,NJ,BE,AAM,12/2012-AR,"7,303","6,683"
The Redding Pilot,Hersam Acorn Newspapers,Shelton,CT,WKL,CAC,03/2013-AR,,"1,979"
The Republic,Home News Enterprises,Columbus,IN,DLY,CAC,03/2014-AR,"17,016","16,013"
The Review,Dix Communications,Alliance,OH,DLY,CAC,06/2013-AR,"11,610","9,877"
The Ridgefield Press,Hersam Acorn Newspapers,Shelton,CT,WKL,CAC,03/2013-AR,,"5,905"
THE RIDGEWOOD NEWS,North Jersey Media Group,Ridgewood,NJ,CNW,AAM,03/2013-AR,,"4,368"
The Rock Island Argus,Small Newspaper Group Inc.,Moline,IL,DLY,CAC,03/2013-AR,"11,778","10,857"
The Salt Lake Tribune,Newspaper Agency Corporation,Salt Lake City,UT,DLY,AAM,09/2013-AR,"166,016","137,779"
The Salt Lake Tribune-Money Bags,Newspaper Agency Corporation,Salt Lake City,UT,BE,AAM,Click Qtrly,,
The Sand Mountain Reporter,"Southern Newspapers of Alabama, Inc.",Albertville,AL,WKL,CAC,03/2013-AR,,"8,199"
The Secaucus Reporter,Hudson Reporter Associates,Hoboken,NJ,WKL,CAC,06/2012-AR,"5,037",
The Seguin Gazette-Enterprise,The Seguin Gazette-Enterprise,Seguin,TX,DLY,CAC,03/2013-AR,"6,123","4,472"
The Sentinel,Centralia Press LTD,Centralia,IL,DLY,CAC,06/2012-AR,,"13,342"
The Sentinel,Memorial Press Group Newspapers,Marshfield,MA,WKL,CAC,09/2013-AR,,950
The Sentinel-Tribune,The Sentinel Company,Bowling Green,OH,DLY,CAC,03/2013-AR,,"9,696"
The Star-Ledger,"Advance Publications, Inc.",Newark,NJ,DLY,AAM,03/2013-AR,"401,176","305,903"
The Sterling Journal-Advocate,Prairie Mountain Publishing,Sterling,CO,DLY,CAC,03/2012-AR,,"2,911"
The Sun Journal,Halifax Media Group,New Bern,NC,DLY,CAC,12/2013-AR,"13,991","12,283"
The Surrey/N. Delta Leader,"Black Press Group, Ltd.",Surrey,BC,WKL,AAM,12/2013-AR,,"82,755"
The Tablet,The Tablet Publishing Company Inc.,Brooklyn,NY,WKL,CAC,03/2013-AR,"74,852",
The Tampa Tribune and Tampa Times,"Media General, Inc.",Tampa,FL,DLY,AAM,12/2013-AR,"211,715","120,045"
The Tampa Tribune and Tampa Times-Centro Tampa,"Media General, Inc.",Tampa,FL,BE,AAM,12/2013-AR,,"50,129"
The Tampa Tribune and Tampa Times-Clearwater Gazette,"Media General, Inc.",Tampa,FL,BE,AAM,12/2013-AR,,"10,576"
The Tampa Tribune and Tampa Times-Go!,"Media General, Inc.",Tampa,FL,BE,AAM,12/2013-AR,"49,766",
The Tampa Tribune and Tampa Times-Go! Pasco,"Media General, Inc.",Tampa,FL,BE,AAM,12/2013-AR,,"30,011"
The Tampa Tribune and Tampa Times-Hernando Today,"Media General, Inc.",Tampa,FL,BE,AAM,12/2013-AR,"2,089","2,093"
The Tampa Tribune and Tampa Times-Highlands Today,"Media General, Inc.",Tampa,FL,BE,AAM,12/2013-AR,"1,932","2,741"
The Tampa Tribune and Tampa Times-Out & About,"Media General, Inc.",Tampa,FL,BE,AAM,12/2013-AR,,"20,108"
The Tampa Tribune and Tampa Times-Plant City Courier,"Media General, Inc.",Tampa,FL,BE,AAM,12/2013-AR,,"11,780"
The Tampa Tribune and Tampa Times-The Brandon News,"Media General, Inc.",Tampa,FL,BE,AAM,12/2013-AR,,"46,061"
The Tampa Tribune and Tampa Times-The Carrollwood News,"Media General, Inc.",Tampa,FL,BE,AAM,12/2013-AR,,"16,731"
The Tampa Tribune and Tampa Times-The Northeast News,"Media General, Inc.",Tampa,FL,BE,AAM,12/2013-AR,,"16,634"
The Tampa Tribune and Tampa Times-The Northwest News,"Media General, Inc.",Tampa,FL,BE,AAM,Click Qtrly,,
The Tampa Tribune and Tampa Times-The South Shore News,"Media General, Inc.",Tampa,FL,BE,AAM,12/2013-AR,,"12,459"
The Tampa Tribune and Tampa Times-The South Tampa News,"Media General, Inc.",Tampa,FL,BE,AAM,12/2013-AR,,"16,201"
The Tampa Tribune and Tampa Times-The Sun,"Media General, Inc.",Tampa,FL,BE,AAM,12/2013-AR,,"5,636"
The Tampa Tribune and Tampa Times-The Suncoast News,"Media General, Inc.",Tampa,FL,BE,AAM,12/2013-AR,"77,666","77,750"
The Tampa Tribune and Tampa Times-Trinity Weekly,"Media General, Inc.",Tampa,FL,BE,AAM,12/2013-AR,,"11,224"
The Telegraph,Civitas Media,Alton,IL,DLY,CAC,09/2013-AR,"17,576","16,010"
The Times,Ottawa Publishing Company,Ottawa,IL,DLY,CAC,03/2014-AR,,"13,943"
The Times-Journal,"Southern Newspapers, Inc.",Ft. Payne,AL,DLY,CAC,03/2013-AR,"4,443","3,539"
The Tinley Junction,22nd Century Media,Orland Park,IL,WKL,CAC,06/2013-AR,,"20,658"
Town Talk,Gannett Company Inc.,Alexandria-Pineville,LA,CND,AAM,12/2012-AR,"25,844","18,979"
The Tri-City News,"Black Press Group, Ltd.",Port Coquitlam,BC,WKL,AAM,12/2013-AR,,"52,388"
The Union,Nevada County Publishing Company,Grass Valley,CA,DLY,CAC,12/2012-AR,,"15,238"
The Union City Reporter,Hudson Reporter Associates,Hoboken,NJ,WKL,CAC,06/2012-AR,"3,486",
The Walton Tribune,"Southern Newspapers, Inc.",Monroe,GA,WKL,CAC,06/2013-AR,,"4,071"
The Wave,Gannett Newspapers,Bethany,DE,WKL,CAC,12/2013-AR,,"20,289"
The Weehawken Reporter,Hudson Reporter Associates,Hoboken,NJ,WKL,CAC,06/2012-AR,"3,876",
The West Milford Messenger,Straus Newspapers,West Milford,NJ,WKL,CAC,06/2013-AR,,"8,580"
